objectid,filename,youtubeid,title,format,description,creator,recipient,date,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language
blackworld038,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA30#v=onepage&q&f=false,,The Televised Rape of Miss Jane Pitman,application/pdf,This article is a critique of the 1974 television movie  The Autobiography of Miss Jane Pittman,Alvin Ramsey,,1974.08,single-page; photographs,"Slavery, History, Black Television, Civil Wars",Louisiana,32.07214189,-92.39524997,,Google Books,Johnson Publishing,1974.08.31.23.10,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1974.08.31.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld039,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA37#v=onepage&q&f=false,,On a Dead Child,application/pdf,A poem about violence,Elwood N. Dudley,,1974.08,single-page; photographs,Poetry,"Madison, Minnesota",45.01313444,-96.19176182,,Google Books,Johnson Publishing,1974.08.37.23.10,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1974.08.37.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld040,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA38#v=onepage&q&f=false,,The Collapse of Portugal's African Empire,application/pdf,"An article about the European colonization of Africa, and how Portuguese control of Africa fell to independence movements in the early 1970s",Ladun Anise,,1974.08,single-page; photographs,"African History, Portugal,",Angola,-11.10947599,17.09815264,,Google Books,Johnson Publishing,1974.08.39.23.10,"MG-101, Box 6, Folder - 'Photographs'",1974.08.39.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld041,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA40#v=onepage&q&f=false,,The Developing Crisis in Southern Africa,application/pdf,An article about the political strife in Zamiba in the 1970s,T.X. Makiwane,,1974.08,single-page; photographs,"African History, Zambian History, Apartheid",Zambia,-13.83410996,28.11357257,,Google Books,Johnson Publishing,1974.08.41.23.10,"MG-101, Box 6, Folder - 'Photographs'",1974.08.41.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld042,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA48#v=onepage&q&f=false,,Moments,application/pdf,A poem about war,Nubia Kai,,1974.08,single-page; photographs,Poetry,"Detroit, Michigan",42.33229213,-83.04566496,,Google Books,Johnson Publishing,1974.08.48.23.10,"MG-101, Box 6, Folder - 'Photographs'",1974.08.48.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld043,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA49#v=onepage&q&f=false,,Festival Warning,application/pdf,"A warning about a scam going on at the time, where people posed as travel agents and took money from African Americans trying to go to a music fesitival in Lagos.",,Students,1974.08,multiple-page; application forms,Black Musicians,"Lagos, Nigeria",6.51528324,3.360839691,,Google Books,Johnson Publishing,1974.08.49.23.10,"MG-101, Box 7, Folder 23",1974.08.49.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld044,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA49#v=onepage&q&f=false,,Perspectives,application/pdf,"A review of new at the time books, plays, music acts, etc, notable in the Black community. Some standouts are James Baldwin's If Beale Street Could Talk, publications in the Black Scholar and a poetry collection by Joyce Carol Thomas. It also notes grants won by African American professors and art museums.",,Sales Agents,1974.08,single-page; order forms,"Black Authors, Black Professors, HBCUS, Black Art",,,,,Google Books,Johnson Publishing,1974.08.49.23.10,"MG-101, Box 7, Folder 23",1974.08.49.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld045,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA51#v=onepage&q&f=false,,"Books Noted: The Price is Too High: A Look at Wole Soyinka's ""The Man Died""",application/pdf,"A book review of Wole Soyinka's ""The Man Died,"" which is a collection of his notes from prison during the Nigerian Civil War",Carrie Sembene,Students,1974.08,single-page; instructions,"Black Authors, Nigerian Civil War","Abeokuta, Nigeria",7.151428227,3.329625732,,Google Books,Johnson Publishing,1974.08.51.23.10,"MG-101, Box 7, Folder 23",1974.08.51.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld046,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA53#v=onepage&q&f=false,,Manchupa Suite,application/pdf,A short poem about identity,Everett Hoagland,,1974.08,multiple-page; flyers,"Black Authors, Poetry","Dartmouth, Massachusetts",41.62669965,-71.00545506,,Google Books,Johnson Publishing,1974.08.53.23.10,"MG-101, Box 7, Folder 23",1974.08.53.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld047,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA54#v=onepage&q&f=false,,Pigs,application/pdf,A short story about a Black Muslim couple and preserving their heritage through food,Everett Hoagland,new members,1974.08,multiple-page; flyers,"Black Authors, Short Story","New Bedford, Massachusetts",41.6873536,-70.92650068,,Google Books,Johnson Publishing,1974.08.54.23.10,"MG-101, Box 7, Folder 23",1974.08.54.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld048,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA57#v=onepage&q&f=false,,"Batuki: For Recalcitrant Cape Verdean Americans and Other ""Black"" Portugese",application/pdf,A poem about Black Portugese Identity,Everett Hoagland,,1974.08,single-page; photographs,"Black Authors, Portuguese Africa, African History","Dartmouth, Massachusetts",41.62669965,-71.00545506,,Google Books,Johnson Publishing,1974.08.57.23.10,"MG-101, Box 6, Folder - 'Photographs'",1974.08.57.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld049,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA65#v=onepage&q&f=false,,Tanzania-Zambia Railway to be Completed by September,application/pdf,An announcement that the Tanzania-Zambia roadway would be complete by September 1974 and give Zambia ocean access.,,,1974.08,single-page; photographs,African History,Zambia,-13.83410996,28.11357257,,Google Books,Johnson Publishing,1974.08.65.23.10,"MG-101, Box 6, Folder - 'Robinson & Friends'",1974.08.65.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld050,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA66#v=onepage&q&f=false,,Pan African Notes,application/pdf,"This article shares various news announcements about the activities of Pan Africanists. Some notable scholars include Dawolu Gene Locke, Akbar Muhammad, Pancho Kadiysky and more.",,members,1974.08,single-page; notices,"African History, PanAfricanism,","Houston, Texas",29.76909763,-95.38215016,,Google Books,Johnson Publishing,1974.08.66.23.10,"MG-101, Box 7, Folder 23",1974.08.66.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld051,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA77#v=onepage&q&f=false,,"""To Follow""",application/pdf,"In this article, Alonso 4X critiques the beliefs of Black youth activists. Hebelieves that Black people have spread themselves thin advocating for too many issues, and are not focusing on the 'core' issue of racism. He asks that Black people stop being obsessed with white culture, and the only way to achieve true liberation is to reject all things white.",Alonso 4X,members,1974.08,single-page; advertisements,"Black Nationalist Thought, Nation of Islam","Newark, New Jersey",40.76489703,-74.17691111,,Google Books,Johnson Publishing,1974.08.77.23.10,"MG-101, Box 7, Folder 23",1974.08.77.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld052,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA80#v=onepage&q&f=false,,Nigeria Acts to Protect Traditional Art,application/pdf,This brief article announces new laws in Nigeria that were made to prevent the trafficking of antiquities.,,,1974.08,multiple-page; flyers,"African History, archeology",Nigeria,9.58128721,7.634859034,,Google Books,Johnson Publishing,1974.08.80.23.10,"MG-101, Box 7, Folder 26",1974.08.80.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld053,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA81#v=onepage&q&f=false,,Intellectual Genocide,application/pdf,"This brief article discusses how intelligence tests, like the IQ test, are weaponized against marginalized communties. These tests deem Black children intellectually insuffient, without examining underlying causes of academic underperformance.",Patricia Ann Johnson,,1974.08,single-page; flyers,Education,"Carbondale, Illinois","37.709290402737544,",-89.23934426,,Google Books,Johnson Publishing,1974.08.81.23.10,"MG-101, Box 7, Folder 26",1974.08.81.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld054,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA83#v=onepage&q&f=false,,Way Is,application/pdf,A poem about Africans rejecting their traditions in the face of a white world,Ashanti,,1974.08,single-page; flyers,"Poetry, African Culture","Charlotte, North Carolina",,,,Google Books,Johnson Publishing,1974.08.83.23.10,"MG-101, Box 7, Folder 26",1974.08.83.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld055,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA81#v=onepage&q&f=false,,Solioquy of a Black Executive Lost,application/pdf,A poem about accepting Black identity,Gloria Gayles,,1974.08,single-page; flyers,"Poetry, African American Identity","Atlanta, Georgia",,,,Google Books,Johnson Publishing,1974.08.85.23.10,"MG-101, Box 7, Folder 26",1974.08.85.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld056,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA88#v=onepage&q&f=false,,Black Star,application/pdf,"This article is a critique of Basil Davidson's biogrpahy of writer Kwame Nkrumah. Armah critiques the accuracy of the book, as well as the writing style.",Ayi Kwei Armah,,1974.08,single-page; flyers,"African History, Book Reviews",Ghana,,,,Google Books,Johnson Publishing,1974.08.88.23.10,"MG-101, Box 7, Folder 26",1974.08.88.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld057,https://books.google.com/books?id=vjkDAAAAMBAJ&lpg=PA1&pg=PA91#v=onepage&q&f=false,,The Emergence of African Fiction,application/pdf,"A book review of Charles Larson's literature analysis ""The Emergence of African Fiction."" The review is mostly negative, but does occasionally  Larson's work.",Omolara Leslie,,1974.08,single-page; offers,"African Literature, Book Review",Nigeria,,,,Google Books,Johnson Publishing,1974.08.91.23.10,"MG-101, Box 7, Folder 26",1974.08.91.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld058,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PT3#v=onepage&q&f=false,,"Would He Look Better in a Sweater and Chinos, with a science book under his arm?",application/pdf,"A critique of both white and black people from all political ideologies, who condemn Black 'militants'.",,,1974.08,single-page; buttons (information artifacts),"Black Nationalism, Afro-Centrism",,,,,Google Books,Johnson Publishing,1974.08.100.23.10,"MG-101, Box 7, Folder 11",1974.08.100.23.10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld059,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA3#v=onepage&q&f=false,,Portrait of the Artist as the High Priest of the Soul: Jean Toomer's Cane,application/pdf,"This article is about how author Jean Toomer wrote his book ""Cane,"" which is often sited as the book that inspired the Harlem Renaissance.  The review goes in depth into the characters and themes of the novel. He reflects on topics like the African Diaspora, Slavery, Islam and more.",Bernard Bell,,1974.09,multiple-page; flyers,"African American Literature, Harlem Renaissance","Sparta, Georgia",,,,Google Books,Johnson Publishing,1974.09.04.23.11,"MG-101, Box 7, Folder 26",1974.09.04.23.11,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld060,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA20#v=onepage&q&f=false,,The Black Aesthetic Ten Years Later,application/pdf,"This article is Addison Gayle's, the author of ""The Black Aesthetic"" 10 years after it's original publication.",Addison Gayle Jr.,,1974.09,single-page; clippings,"African Diaspora Studies, African American Literature, Pop Culture","New York City, New York",47.65557,-117.419063,,Google Books,Johnson Publishing,1974.09.20.23.11,"MG-101, Box 7, Folder 26",1974.09.20.23.11,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld061,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA30#v=onepage&q&f=false,,Steps to Break the Cycle,application/pdf,"This article serves as a review for powerful Black poetry, and calls for African Americans to create more thought provoking poetry. The theme of respectability politics is strong here, and how Black folks' duty is to fight against that.",Keorapeste Kgositsile,,1974.09,multiple-page; lectures,"Poetry, African American Culture","New York City, New York",,,,Google Books,Johnson Publishing,1974.09.30.23.11,"MG-101, Box 7, Folder 26",1974.09.30.23.11,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld062,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA35#v=onepage&q&f=false,,In a Mellotone: A Memorial,application/pdf,A poem about family and African American Identity,Ron Welburn,,1974.09,single-page; notices,Poetry,"Amherst, Massachusetts",,,,Google Books,Johnson Publishing,1974.09.35.23.11,"MG-101, Box 7, Folder 31",1974.09.35.23.11,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld063,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA36#v=onepage&q&f=false,,A Black Wedding Song,application/pdf,A poem to commerorate the marriage of Safisha Laini and Haki Madhubuti,Gwendolyn Brooks,,1974.09,single-page; flyers,Poetry,"Chicago, Illinois",,,,Google Books,Johnson Publishing,1974.09.36.23.11,"MG-101, Box 7, Folder 31",1974.09.36.23.11,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld064,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA37#v=onepage&q&f=false,,To the Victims of the Afrikan Drought: A Libation for a Season Without Rain,application/pdf,A poem about drought and famine in most likely Ethiopia.,Eileen Cherry,,1974.09,multiple-page; advertisements,Poetry,"Addis Ababa, Ethiopia",,,,Google Books,Johnson Publishing,1974.09.37.23.11,"MG-101, Box 7, Folder 31",1974.09.37.23.11,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld065,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA38#v=onepage&q&f=false,,I Sit Here,application/pdf,A short poem about African identity and understanding among African Americans,Alvin Aubert,,1974.09,single-page; flyers,Poetry,"Fredonia, New York",,,,Google Books,Johnson Publishing,1974.09.38.23.11,"MG-101, Box 7, Folder 31",1974.09.38.23.11,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld066,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA38#v=onepage&q&f=false,,"Paul Laurence Dunbar, 1872-1906",application/pdf,A poem commerating the life of Paul Laurence Dunbar,Alvin Aubert,,1974.09,single-page; flyers,Poetry,"Fredonia, New York",45.57872,-122.71349,,Google Books,Johnson Publishing,1974.09.38.23.11,"MG-101, Box 7, Folder 32",1974.09.38.23.11,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld067,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA39#v=onepage&q&f=false,,Baptism,application/pdf,"A poem about baptism, religion and connection to the Earth.",Alvin Aubert,,1974.09,single-page; photographs,Poetry,"Fredonia, New York",,,,Google Books,Johnson Publishing,1974.09.39.23.11,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1974.09.39.23.11,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld068,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA40#v=onepage&q&f=false,,As Far As Your Soul Will Allow,application/pdf,A spiritual poem about identity and music,Phillip Royster,,1974.09,single-page; flyers,Poetry,"Chicago, Illinois",34.054709,-118.261773,,Google Books,Johnson Publishing,1974.09. 40.23.11,"MG-101, Box 7, Folder 32",1974.09. 40.23.11,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng
blackworld069,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA41#v=onepage&q&f=false,,Everybody's Got a Little Trick in 'um,application/pdf,A poem about slavery and legacy,Doc Long,,1974.09,,Poetry,"Trenton, New Jersey",,,,Google Books,Johnson Publishing,1974.09.41.23.11,,1974.09.41.23.11,,,Image;StillImage,
blackworld070,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA41#v=onepage&q&f=false,,"The Flowering of Garden-self in Surrender: For Rose Ann ""Daisy"" T. Brown",application/pdf,A poem about death and finding peace.,Micheal S. Harper,,1974.09,,Poetry,"New York City, New York",,,,Google Books,Johnson Publishing,1974.09.41.23.11,,1974.09.41.23.11,,,Image;StillImage,
blackworld071,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA42#v=onepage&q&f=false,,Daufuskie,application/pdf,A poem about Gullah Geeche identity,Mari Evans,,1974.09,,"Poetry, Gullah Geeche culture","Indianapolis, Indiana",,,,Google Books,Johnson Publishing,1974.09.42.23.11,,1974.09.42.23.11,,,Image;StillImage,
blackworld072,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA43#v=onepage&q&f=false,,Daufuskie: Jake,application/pdf,A poem in Gullah Geeche dialect,Mari Evans,,1974.09,,"Poetry, Gullah Geeche culture","Indianapolis, Indiana",,,,Google Books,Johnson Publishing,1974.09.43.23.11,,1974.09.43.23.11,,,Image;StillImage,
blackworld073,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA43#v=onepage&q&f=false,,Nicodemus,application/pdf,A poem about a tragic love story and a mother raising children without a father.,Mari Evans,,1974.09,,Poetry,"Indianapolis, Indiana",,,,Google Books,Johnson Publishing,1974.09.43.23.11,,1974.09.43.23.11,,,Image;StillImage,
blackworld074,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA44#v=onepage&q&f=false,,How Far Away is Not Soon,application/pdf,A poem about Black Musicians,Mari Evans,,1974.09,,Poetry,"Indianapolis, Indiana",,,,Google Books,Johnson Publishing,1974.09.44.23.11,,1974.09.44.23.11,,,Image;StillImage,
blackworld075,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA45#v=onepage&q&f=false,,The Nigger Who is Now Hunting You,application/pdf,A poem about how Black identity is reviled by white people,Mari Evans,,1974.09,,Poetry,"Indianapolis, Indiana",,,,Google Books,Johnson Publishing,1974.09.45.23.11,,1974.09.45.23.11,,,Image;StillImage,
blackworld076,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA46#v=onepage&q&f=false,,The Plush Heart Sanctuary,application/pdf,A poem about the matriarch of a family.,George Buggs,,1974.09,,Poetry,,,,,Google Books,Johnson Publishing,1974.09.46.23.11,,1974.09.46.23.11,,,Image;StillImage,
blackworld077,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA47#v=onepage&q&f=false,,"For You Barb, Sitting So Gloriously at our Window",application/pdf,A love poem about the strength of the author and subject's love,Isaac J. Black,,1974.09,,Poetry,"Cambria Heights, New York",,,,Google Books,Johnson Publishing,1974.09.47.23.11,,1974.09.47.23.11,,,Image;StillImage,
blackworld078,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA48#v=onepage&q&f=false,,All Things Abide,application/pdf,A poem about Martin Luther King Jr.'s mother,Raymond R. Patterson,,1974.09,,Poetry,"New York City, New York",,,,Google Books,Johnson Publishing,1974.09.48.23.11,,1974.09.48.23.11,,,Image;StillImage,
blackworld079,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA49#v=onepage&q&f=false,,Perspectives,application/pdf,"This article reports on recent artistic developments by African Americans, including the work of Edmund Fuller, Michele Hoff Johnson, and more.",,,1974.09,,"African American Art,",,,,,Google Books,Johnson Publishing,1974.09.49.23.11,,1974.09.49.23.11,,,Image;StillImage,
blackworld080,https://books.google.com/books?id=zjkDAAAAMBAJ&lpg=PP1&pg=PA51#v=onepage&q&f=false,,The Folk Roots of Contemporary Afro-American Poetry,application/pdf,"A book review of Bernard Bell's book, The Folk Roots of Contemporary Afro-American Poetry. The review covers themes of American folk art and indigenous influence on African American Art.",Richard Fulani,,1974.09,,"Book Review, Poetry","New York City, New York",,,,Google Books,Johnson Publishing,1974.09.52.23.11,,1974.09.52.23.11,,,Image;StillImage,
